Ds	opening	A	Right	sw00-0004.w1
TiM	stalling;TuM:turnKeep	A	uh	sw00-0004.w2
Ta	inform	A	actually I lived over in Europe for a couple of years	sw00-0004.w3-w13
Ta	inform	A	I lived in Germany 	sw00-0004.w14-w17
Ta	inform	A	and in Germany they don't have the jury system	sw00-0004.w18-w26
Ta	inform	A	What they do is they have three judges basically	sw00-0004.w27-w32,w34,w35
TiM	stalling	A	uh	sw00-0004.w33
Ta	inform	A	And you get up there  	sw00-0004.w37-w41
Ta	inform	A	and the prosecuting attorney presents his evidence  	sw00-0004.w42-w48
Ta	inform	A	your defense attorney presents their evidence  	sw00-0004.w49-w54
Ta	inform	A	those three guys take the evidence go off figure it out and then come back and say whether you're guilty or not	sw00-0004.w55-w76
TiM	stalling;TuM:turnTake	B	Ou ou our	sw00-0004.w78-w80
Ta	inform(Exemp:Set da22,da24,da26,da27,da28,da31)	B	our judicial system is in such total chaos	sw00-0004.w80-w87
AutoF	autoPositive (Fe: da15)	A	<Laughter>	sw00-0004.w88
Ta	inform	B	I think what they need to do is they need to somehow take the money out of it	sw00-0004.w89-w100,w102-w107
TiM	stalling	B	<lipsmack>	sw00-0004.w101
Tim	 stalling	B	I mean	sw00-0004.w108,w109
Ta	 inform	B	when you have a man that's signed a statement saying he's guilty	sw00-0004.w111-w116,ww119-w123
TiM	stalling	B	a a a	sw00-0004.w117-w119
Ta	inform	B	we have a family called All day family	sw00-0004.w125,w126,w128-w133
TiM	stalling	B	a a	sw00-0004.w127,w128
Ta	inform (Expand:Expander da22)	B	They were all murdered	sw00-0004.w134-w137
AutoF	autoPositive (Fe:da24)	A	Uh-huh	sw00-0004.w138
Ta	inform (Expand:Expander da22)	B	All the people signed confessions	sw00-0004.w139-w143
Ta	inform (Expand:Expander da26)	B	they went to a trial by jury	sw00-0004.w144-w150
Ta	inform (Expand:Expander da26)	B	They been trying these people now for twentytwo years ever since I was a child	sw00-0004.w151-w165
AutoF	autoPositive [surprise] (Fe: da28)	A	Wow	sw00-0004.w166
TuM	turnTake	B	And	sw00-0004.w167
Ta	inform (Expand:Expander da28)	B	what they've done is they've bought Mercedes after Mercedes after Mercedes is what they've done	sw00-0004.w168-w182
Ta	inform (Eval:Judgement da28,da31)	B	 has nothing to do with justice whatsoever	sw00-0004.w183-w189
TuM	turnTake	A	<Breathing>	sw00-0004.w190
TiM	stalling	A	<Breathing> Well you know it's it's 	sw00-0004.w190-w195
AutoF	autoPositve (Fe:da32)	A	it's one of those things	sw00-0004.w195-w199
TiM	stalling	A	I mean uh uh	sw00-0004.w200-w203
Ta	inform	A	I would have to look at it	sw00-0004.w204-w210
TiM	stalling	A	I  if 	sw00-0004.w211,w212
OCM	selfCorrection	A	the just the	sw00-0004.w217,w219,w220
TiM	stalling	A	uh	sw00-0004.w218
Ta	inform	A	if they did it with just the judges the police have to do a lot better job of making sure that their evidence is airtight	sw00-0004.w212-w216,w219-w38
Ta	inform (Cause:Reason da41)	A	because the judges sitting in that kind of stuff day after day they know all the procedures	sw00-0004.w239-w255
Ta	inform (Elab:Specific da42)	A	they know what's good and what isn't	sw00-0004.w256-w262
Ta	inform	A		
Ta	inform (Elab:Specific da42)	A	they'd be able to say 'm sorry you can't use this as evidence	sw00-0004.w263-w274,276
TiM	stalling	A	uh	sw00-0004.w275
TiM	stalling	A	you know	sw00-0004.w277,w278
Ta	 inform (Cause:Reason da45)	A	because it was either illegally obtained or whatever	sw00-0004.w276-w286
TuM	turnKeep	A	and	sw00-0004.w287
TiM	stalling	A	you know	sw00-0004.w288,w289
Ta	 inform	A	you wouldn't have this theatrics where the lawyer jumps up and presents it to the jury	sw00-0004.w290-w293,296-w304,w307-w309
TiM	stalling	A	uh uh	sw00-0004.w294,w295
TiM	stalling	A	to the to the	sw00-0004.w305-w308
TiM	stalling	A	oh	sw00-0004.w315
Ta	 inform	A	and then the judge says no disregard that	sw00-0004.w310-w316,w318,w319
TiM	stalling	A	d disregard	sw00-0004.w317,w318
Ta	 inform [certain]	A	Come on any jury's not going to  disregard the evidence you know <laughter>	sw00-0004.w320,w332
TiM	stalling;TuM:turnTake	B	Uh	sw00-0004.w333
Ta	agreement (Fu: da57)	B	that's true	sw00-0004.w334,w335
TiM	stalling;TuM:turnKeep	B	I I I	sw00-0004.w336-w338
Ta	inform	B	I think our judicial system is attorney welfare myself	sw00-0004.w338-w346
Ta	agreement (Fu: da62)	A	That may very well be	sw00-0004.w347-w351
TiM	stalling;TuM:turnKeep	B	I I	sw00-0004.w352,w353
Ta	inform	B	I hold it in the utmost contempt	sw00-0004.w353-w359
TiM	stalling;TuM:turnTake	A	Uh	sw00-0004.w360
OCM	selfCorrection	B	The d my	sw00-0004.w361,w363,w364
TiM	stalling	B	uh	sw00-0004.w362
Ta	inform	B	my favorite is the police department	sw00-0004.w364-369
