DS	opening	A	Okay	sw02-0224.w1
AutoF	autoPositive (Fe: da1)	B	All right  	sw02-0224.w2,w3
TiM	stalling;TuM:turnKeep	B	Uh	sw02-0224.w4
Ta	propositionalQuestion	B	do you have any friends that have children	sw02-0224.w5-w12
Ta	answer (Fu: da5)	A	I do have friends that have children	sw02-0224.w13-w19
Ta	answer (Fu: da5)	A	yes 	sw02-0224.w20
Ta	setQuestion	B	And what do they say about finding adequate child care? 	sw02-0224.w21-w30
Ta	inform (Cause:Reason da8)	B	I think that may be the key word 	sw02-0224.w32-w39
Ta	agreement (Fu: da9)	A	I think that's correct  	sw02-0224.w40-w43
Ta	inform	A	They're, relatively nonexistent from what I hear from my friends	sw02-0224.w44,w46,w47,w50-w56
TiM	stalling	A	uh	sw02-0224.w45
TiM	stalling	A	from uh from	sw02-0224.w48-w50
Ta	inform (Elab:Specific da11 )	A	It seems like even when they have consulted day care centers that are reputable, that are sort of like a chain, if I can use that word, still you have to deal with the people that, happen to be operating it locally 	sw02-0224.w57-w59,w61-w84,w89-w97,w100-w105
TiM	stalling	A	uh	sw02-0224.w60
AutoF	autoPositive (Fe:da14)	B	Right 	sw02-0224.w86
TiM	stalling	A	uh	sw02-0224.w88
TiM	stalling	A	you know	sw02-0224.w98,w99
TuM	turnKeep	A	and	sw02-0224.w106
TiM	stalling	A	uh	sw02-0224.w107
Ta	inform	A	it's just a matter of trust, you know	sw02-0224.w108-w111,w113-w116
TiM	stalling	A	of, of	sw02-0224.w112,w113
Ta	inform	A	I think they feel that these people are under qualified basically and  underpaid, 	sw02-0224.w117-w124,w126-w130
TiM	stalling 	A	um	sw02-0224.w125
TuM	turnKeep	A	and	sw02-0224.w131
Ta	inform (Expand:Expander da23 )	A	I think that sort of goes hand in hand 	sw02-0224.w132-w140
TiM	stalling	A	it's, it's	sw02-0224.w142,w143
Ta	inform	A	so it's difficult for them	sw02-0224.w141,w143-w146
TuM	turnTake	B	Well	sw02-0224.w147
Ta	agreement (Fu: da28)	B	we certainly found that to be true 	sw02-0224.w148-w154
AutoF	autoPositive (Fe: da30)	A	Huh-uh 	sw02-0224.w155
TiM	stalling	B	Uh	sw02-0224.w156
OCM	retraction	B	indeed we've, - 	sw02-0224.w157,w158
Ta	inform	B	our children are now eleven and nine 	sw02-0224.w160-w166
AutoF	autoPositive (Fe: da34)	A	Huh-uh 	sw02-0224.w167
TuM	turnKeep	B	And	sw02-0224.w168
Ta	inform	B	we moved away from institutionalized child care --	sw02-0224.w169-w175
AutoF	autoPositive (Fe: da37)	A	Huh-uh 	sw02-0224.w177
OCM	 Inform 	B	if we can call those chain kind of things, like that Uh, by that name	sw02-0224.w179-w187,w189,w190,w192-w194
AutoF	autoPositive (Fe: da39)	A	Right 	sw02-0224.w195
TiM	stalling	B	uh	sw02-0224.w191
OCM	selfCorrection	B	like that, by that name	sw02-0224.w189,w190,192-w194
AutoF	autoPositive (Fe: da42)	A	Right 	sw02-0224.w195
Ta	inform (Expand:Expander da37)	B	And found that more creative avenues were the right answer for us	sw02-0224.w196-w198,w200-w208
TiM	stalling	B	uh	sw02-0224.w199
AutoF	autoPositive (Fe: da44)	A	Huh-uh  	sw02-0224.w209
AutoF	autoPositive (Fe: da44)	A	Huh-uh 	sw02-0224.w210
TiM	stalling	B	Uh	sw02-0224.w211
Ta	inform	B	at one point in time we've had au pairs,	sw02-0224.w212-w220
AutoF	autoPositive (Fe: da49)	A	Huh-uh 	sw02-0224.w221
Ta	inform (Manner:Means da49)	B	by trading services with them, 	sw02-0224.w222-w226
AutoF	autoPositive (Fe: da51	A	Huh-uh   	sw02-0224.w227
TuM	turnKeep	B	and	sw02-0224.w228
Ta	inform (Expand:Expander da49)	B	that worked for a while,  	sw02-0224.w229-w233
Ta	inform (Contrast: Arg2 da54)	B	but adequate ones were really tough to find	sw02-0224.w234,w238-w244
OCM	selfCorrection	B	they were really, adequate ones were really	sw02-0224.w235-w241
Tak	Agreement (Fu: da55)	A	I'm sure that's true 	sw02-0224.w245-w248
Ta	inform (Cause:Reason da55)	B	It takes that mixture of a very mature college student, who wants to do something and yet is willing to give the time, and the interest to the children	sw02-0224.w249-w258,w260-w272,w274-w279
AutoF	autoPositive (Fe: da58)	A	Huh-uh   	sw02-0224.w259
AutoF	autoPositive (Fe: da58)	A	Right 	sw02-0224.w273
AutoF	autoPositive (Fe: da58)	A	Right  	sw02-0224.w280
Ta	inform (Exemp:Expander da58)	A	I do have a friend, she and her roommate became live-in care givers	sw02-0224.w281-w285,w290-w297
TiM	stalling	A	uh uh	sw02-0224.w287,w288
OCM	retraction	A	that, -	sw02-0224.w286,w289
Ta	inform	A	she and her roommate became live-in care givers  	
TuM	turnKeep	A	and	sw02-0224.w298
Ta	inform (Expand:Expander da65)	A	they loved it	sw02-0224.w299-w301
Ta	inform (Elab:Specific da65)	A	They had stayed with this family from the time these children were small four or five years old, up until they were well into grade school	sw02-0224.w302-w314,w317-w329
TiM	stalling	A	you know	sw02-0224.w315,w316
TuM	turnKeep	a	And	sw02-0224.w330
TiM	stalling	A	uh	sw02-0224.w331
Ta	inform (Expand:Expander da65)	A	she was paid very well because the parents trusted them	sw02-0224.w332-w337,w340-w342
OCM	selfCorrection	A	they, the parents	sw02-0224.w338-w340
TuM	turnKeep	A	and	sw02-0224.w343
Ta	inform	A	they had done such a good job 	sw02-0224.w344,w347-w352
TiM	stalling	A	you know	sw02-0224.w345,w346
Ta	inform	A	So I can see where someone, in a position like that, in a live-in capacity, would definitely be the way to go if you're lucky enough to have the financial  to be able to do that 	sw02-0224.w353,w355-w350,w362-w378,w380-w386,w389-w394
TiM	stalling	A	um	sw02-0224.w354
TiM	stalling	A	you know	sw02-0224.w360,w361
TiM	stalling	A	you're, you're	sw02-0224.w379,w380
TuM	turnTake	B	Well	sw02-0224.w395
Ta	Agreement (Fu:da77)	B	that's true, 	sw02-0224.w396,w397
AutoF	autoPositive (Fe: da82)	A	 Yeah   	sw02-0224.w398
Ta	inform 	B	and  that's something that we're struggling with now 	sw02-0224.w399-w406
AutoF	autoPositive (Fe: da84)	A	Yeah  	sw02-0224.w407
Ta	inform	A	I think it's just a matter of priorities  	sw02-0224.w408-w415
Ta	inform	A	it's a terrible thing to say when you're speaking of children in that way	sw02-0224.w420-w433
TiM	stalling	A	It's uh you know it's	sw02-0224.w416-w419
Ta	inform (Contrast:Arg2 da87)	A	 but  you still have to be realistic, as well, I think 	sw02-0224.w434-w444
TiM	stalling; TuM:turnTake	B	Oh	sw02-0224.w445
Ta	agreement (Fu: da89)	B	yeah	sw02-0224.w446
AutoF	autoPositive (Fe: da92)	A	Yeah 	sw02-0224.w447
AutoF	autoPositive (Fe:da92)	A	Yeah 	sw02-0224.w450
Ta	inform	B	Much as other cultures disagree, our lives don't revolve around our children 	sw02-0224.w451-w462
AutoF	autoPositive (Fe: da95)	A	Yeah  	sw02-0224.w463
AutoF	autoPositive (Fe: da95)	A	Yeah  	sw02-0224.w464
TuM	turnKeep	A	And	sw02-0224.w465
Ta	inform	A	that's bad to have to admit, too, 	sw02-0224.w468-w474
TiM	stalling	A	that's, that's, that's	sw02-0224.w466-w468
Ta	inform (Cause:Reason da99)	A	but it's just, there's so much pressure when you're talking about two people that work outside the home 	sw02-0224.w475,w479-w495
TiM	stalling	A	uh, you know	sw02-0224.w476-w478
TiM	stalling	A	and, and	sw02-0224.w496,w497
Ta	inform (Cause:Reason da101)	A	I think that is one reason why I continue to be without children 	sw02-0224.w498-w510
OCM	retraction	A	I, - 	sw02-0224.w511
Ta	inform	A	it's just such a responsibility	sw02-0224.w513-w517
TiM	stalling	A	and, and	sw02-0224.w518,w519
OCM	selfCorrection	A	when I've had friends that have said - when you hear people say	sw02-0224.w520-w532
Ta	inform	A	when you hear people say, it alters your life forever, please take heed <laughter>	sw02-0224.w528-w532,w534-w542
TiM	stalling	A	it, it	sw02-0224.w533,w534
Ta	inform	A	Well, I realize that's true  	sw02-0224.w543-w547
Ta	inform	A	so, it's such a responsibility 	sw02-0224.w548,w549,w551-w553
TiM	stalling	A	uh	sw02-0224.w550
TuM	turnTake	B	Well	sw02-0224.w554
Ta	agreement (Fu:da112)	B	it certainly is	sw02-0224.w555-w557
TiM	stalling	B	Uh	sw02-0224.w558
Ta	request	B	if I can  ((   ))  the other side of the coin for a moment 	sw02-0224.w559-w572
AutoF	autoPositive (Fe: da117)	A	Huh-uh 	sw02-0224.w573
Ta	inform	B	It is such an honor and a thrill, to be a parent, that most of the time, it's worth it	sw02-0224.w574-w581,w584-w587,w589-w595
TiM	stalling	A	Oh	sw02-0224.w582
AutoF	autoPositive (Fe: da119)	A	yeah	sw02-0224.w583
AutoF	autoPositive (Fe: da119)	A	 Huh-uh   	sw02-0224.w588
AutoF	autoPositive (Fe: da119)	A	Yeah <laughter>  	sw02-0224.w597,w598
Ta	agreement (Fe: da119)	A	Most of the time <laughter> 	sw02-0224.w599-w603
TuM	turnTake	B	Well	sw02-0224.w604
Ta	inform	B	I just have to be honest about it  	sw02-0224.w605-w612
Ta	inform	B	It's not always worth it	sw02-0224.w613-w615,w619,w620
AutoF	autoPositive (Fe: da127)	A	Yeah  	sw02-0224.w616
TiM	stalling	A	Oh	sw02-0224.w617
AutoF	autoPositive (Fe: da127)	A	sure	sw02-0224.w618
AutoF	autoPositive (Fe: da127)	A	Sure  	sw02-0224.w621
AutoF	autoPositive (Fe: da127)	A	Sure  	sw02-0224.w622
AutoF	autoPositive (Fe: da127)	A	Sure 	sw02-0224.w623
Ta	inform	B	There are those times when I think, gee,  if I didn't have children I could be out playing  (( bridge ))  or golf 	sw02-0224.w624-w646
AutoF	autoPositive (Fe: da134);TuM:turnTake	A	Right  	sw02-0224.w647
AutoF	autoPositive (Fe: da134)	A	Right  	sw02-0224.w648
AutoF	autoPositive (Fe: da134)	A	Right  	sw02-0224.w649
AutoF	autoPositive (Fe: da134)	A	Right  	sw02-0224.w650
TuM	turnKeep	A	but	sw02-0224.w651
Ta	inform	A	it's funny	sw02-0224.w654,w655
TiM	stalling	A	you know	sw02-0224.w652,w653
OCM	selfCorrection	A	I did, I had	sw02-0224.w656-w659
TiM	stalling	A	you know	sw02-0224.w664,w665
Ta	inform	A	I had a friend that said, before we always said we don't want children because we can't go off on the spur of the moment or this or that and the other 	sw02-0224.w658-w663,w666-w691
TuM	turnKeep	A	and	sw02-0224.w692
Ta	inform	A	she got older 	sw02-0224.w693-w695
TuM	turnKeep	A	and	sw02-0224.w696
Ta	inform (Concession: Expander da145)	A	she said, we never do those things anyway 	sw02-0224.w697,w698,w702-w707
TiM	stalling	A	but, you know	sw02-0224.w699-w701
TuM	turnKeep	A	So	sw02-0224.w708
TiM	stalling	A	why <laughter> why 	sw02-0224.w709-w711
TiM	stalling	A	you know	sw02-0224.w715,w716
Ta	inform	A	why am I waiting	sw02-0224.w711-w714
TiM	stalling	A	It's its	sw02-0224.w717,w718
Ta	inform	A	It's just the way your attitude changes 	sw02-0224.w718-w724
TuM	turnKeep	A	and	sw02-0224.w725
Ta	inform (Restatement: Arg2 da156)	A	you mature I suppose 	sw02-0224.w726-w729
Ta	inform	A	But the thing about the child care I have friends that struggle financially and they both do have to work 	sw02-0224.w730-w736,w740-w745,w747-w753
TiM	stalling	A	I, you know, I	sw02-0224.w737-w740
TiM	stalling	A	and and	sw02-0224.w746,w747
Ta	inform	A	It's a matter not necessarily that she might want to stay home or he, as well, 	sw02-0224.w754-w758,w760-w770
TiM	stalling	A	uh	sw02-0224.w759
Ta	inform	A	 but, you know,  they need the money  	sw02-0224.w771-w777
Ta	inform	A	And when I seen some of my friends that have taken that six week old baby you know, to someone else, it's just, I can imagine how emotional  it must be and multiplied by the fact that you don't really trust the person  or you're uncomfortable with the situation, as far as child care,	sw02-0224.w778,w780-w810,w814-w835
TiM	stalling	A	uh	sw02-0224.w779
TiM	stalling	A	and and you know	sw02-0224.w810-w813
TiM	stalling	A	um	sw02-0224.w836
Ta	inform	A	it's just a scary thing 	sw02-0224.w837-w841
TuM	turnTake	B	Well	sw02-0224.w842
Ta	inform	B	we were lucky when our children were that age, 	sw02-0224.w843-w851
TuM	turnKeep	B	and	sw02-0224.w852
Ta	inform	B	having lived in a community for a while we knew the person to whom we were entrusting our children	sw02-0224.w853-w860,w862-w872
OCM	selfCorrection	B	and	sw02-0224.w861
AutoF	autoPositive (Fe: da173)	A	Huh-uh  	sw02-0224.w873
AutoF	autoPositive (Fe: da173)	A	That's a big plus	sw02-0224.w874-w877
Ta	inform	B	And felt that feeling of safety	sw02-0224.w878,w879,w881,w884-w886
TiM	stalling	B	that that	sw02-0224.w880,w881
AutoF	autoPositive (Fe:da176)	A	 Right   	sw02-0224.w882
AutoF	autoPositive (Fe: da177)	A	Right 	sw02-0224.w887
TuM	turnKeep	B	And	sw02-0224.w888
Ta	inform	B	were leaving them  ((   ))  small children	sw02-0224.w889-w895
AutoF	autoPositive (Fe: da182)	A	Huh-uh 	sw02-0224.w896
TuM	turnKeep	B	But	sw02-0224.w897
Ta	inform	B	we also learned something from that experience as our children got older 	sw02-0224.w898-w909
AutoF	autoPositive (Fe: da185)	A	Yeah 	sw02-0224.w910
Ta	inform (Elab:Specific da185)	B	It's that care givers are not omniscient -- 	sw02-0224.w911-w918
AutoF	autoPositive (Fe: da187)	A	Huh-uh 	sw02-0224.w919
Ta	inform (Elab:Specific da185)	B	 -- they are not all things to all people --	sw02-0224.w920-w929
AutoF	autoPositive (Fe: da189)	A	Right 	sw02-0224.w930
